"line","song_id","song_name","artist_id","artist_name","song_line","album"
"If I ain't got nothing, I got you",50396,"1+1",498,"Beyoncé",1,"4"
"If I ain't got something, I don't give a damn",50396,"1+1",498,"Beyoncé",2,"4"
"'Cause I got it with you",50396,"1+1",498,"Beyoncé",3,"4"
"I don't know much about algebra, but I know 1+1 equals 2",50396,"1+1",498,"Beyoncé",4,"4"
"And it's me and you",50396,"1+1",498,"Beyoncé",5,"4"
"That's all we'll have when the world is through",50396,"1+1",498,"Beyoncé",6,"4"
"'Cause baby, we ain't got nothing without love",50396,"1+1",498,"Beyoncé",7,"4"
"Darling, you got enough for the both of us",50396,"1+1",498,"Beyoncé",8,"4"
"So come on, baby, make love to me",50396,"1+1",498,"Beyoncé",9,"4"
"When my days look low",50396,"1+1",498,"Beyoncé",10,"4"
"Pull me in close and don't let me go, make love to me",50396,"1+1",498,"Beyoncé",11,"4"
"So when the world's at war, let our love heal us all",50396,"1+1",498,"Beyoncé",12,"4"
"Right now, baby, make love to me",50396,"1+1",498,"Beyoncé",13,"4"
"We, me, me, me",50396,"1+1",498,"Beyoncé",14,"4"
"Oh, make love to me",50396,"1+1",498,"Beyoncé",15,"4"
"Hey, I don't know much about guns, but I",50396,"1+1",498,"Beyoncé",16,"4"
"I've been shot by you, hey",50396,"1+1",498,"Beyoncé",17,"4"
"And I don't know when I'm gon' die, but I hope",50396,"1+1",498,"Beyoncé",18,"4"
"That I'm gon' die by you, hey",50396,"1+1",498,"Beyoncé",19,"4"
"I don't know much about fighting, but I",50396,"1+1",498,"Beyoncé",20,"4"
"I know I will fight for you, hey",50396,"1+1",498,"Beyoncé",21,"4"
"Just when I ball up my fist, I realize",50396,"1+1",498,"Beyoncé",22,"4"
"I'm laying right next to you",50396,"1+1",498,"Beyoncé",23,"4"
"Baby, we ain't got nothing but love",50396,"1+1",498,"Beyoncé",24,"4"
"And darling, you got enough for the both of us",50396,"1+1",498,"Beyoncé",25,"4"
"Ooh, make love to me",50396,"1+1",498,"Beyoncé",26,"4"
"When my days look low",50396,"1+1",498,"Beyoncé",27,"4"
"Pull me in close and don't let me go, make love to me",50396,"1+1",498,"Beyoncé",28,"4"
"So when the world's at war, let our love heal us all",50396,"1+1",498,"Beyoncé",29,"4"
"Help me let down my guard",50396,"1+1",498,"Beyoncé",30,"4"
"Make love to me, me, me, me, me",50396,"1+1",498,"Beyoncé",31,"4"
"Oh, oh, make love to me, me, me, me, me",50396,"1+1",498,"Beyoncé",32,"4"
"Shoulders sideways, smack it, smack it in the air",587286,"7/11",498,"Beyoncé",1,"Beyoncé: Platinum Edition"
"Legs movin' side to side, smack it in the air",587286,"7/11",498,"Beyoncé",2,"Beyoncé: Platinum Edition"
"Legs movin' side to side, smack you  in the air",587286,"7/11",498,"Beyoncé",3,"Beyoncé: Platinum Edition"
"Shoulders sideways, smack it, smack it in the air",587286,"7/11",498,"Beyoncé",4,"Beyoncé: Platinum Edition"
"Smack it, smack it in the air, legs movin' side to side",587286,"7/11",498,"Beyoncé",5,"Beyoncé: Platinum Edition"
"Smack it, smack it in the air; smack it, smack it in the air",587286,"7/11",498,"Beyoncé",6,"Beyoncé: Platinum Edition"
"Wave your hands side to side, put it in the air",587286,"7/11",498,"Beyoncé",7,"Beyoncé: Platinum Edition"
"Wave your hands side to side, put it in the air",587286,"7/11",498,"Beyoncé",8,"Beyoncé: Platinum Edition"
"Clap, clap, clap like you don't care",587286,"7/11",498,"Beyoncé",9,"Beyoncé: Platinum Edition"
"Smack that, clap, clap, clap, like you don't care",587286,"7/11",498,"Beyoncé",10,"Beyoncé: Platinum Edition"
"(I know you care)",587286,"7/11",498,"Beyoncé",11,"Beyoncé: Platinum Edition"
"Clap, clap, clap, clap, clap it",587286,"7/11",498,"Beyoncé",12,"Beyoncé: Platinum Edition"
"Foot up, my foot up, hold up now my foot up",587286,"7/11",498,"Beyoncé",13,"Beyoncé: Platinum Edition"
"I'm spinnin' my foot up, foot up yeah my foot up",587286,"7/11",498,"Beyoncé",14,"Beyoncé: Platinum Edition"
"I'm spinnin' my foot up, put my foot down yeah my hands up",587286,"7/11",498,"Beyoncé",15,"Beyoncé: Platinum Edition"
"My hands up, my hands up (flexin') flexin' while my hands up",587286,"7/11",498,"Beyoncé",16,"Beyoncé: Platinum Edition"
"My hands up, my hands up, I stand up with my hands up",587286,"7/11",498,"Beyoncé",17,"Beyoncé: Platinum Edition"
"Then I put up, my hands up, I put up, my hands up",587286,"7/11",498,"Beyoncé",18,"Beyoncé: Platinum Edition"
"I put up, my hands up then I'm spinnin' all my hands up (spinnin')",587286,"7/11",498,"Beyoncé",19,"Beyoncé: Platinum Edition"
"Spinnin' while my hands up (spinnin') spinnin' while my hands up (spinnin')",587286,"7/11",498,"Beyoncé",20,"Beyoncé: Platinum Edition"
"Spinnin' while my hands up then I'm tippin' all my hands up",587286,"7/11",498,"Beyoncé",21,"Beyoncé: Platinum Edition"
"Spinnin', I'm spinnin', I'm spinnin' while my hands up",587286,"7/11",498,"Beyoncé",22,"Beyoncé: Platinum Edition"
"I'm spinnin', I'm spinnin', I'm spinnin' while my hands up",587286,"7/11",498,"Beyoncé",23,"Beyoncé: Platinum Edition"
"(Drank)",587286,"7/11",498,"Beyoncé",24,"Beyoncé: Platinum Edition"
"Hold that cup like alcohol, oh let go like alcohol",587286,"7/11",498,"Beyoncé",25,"Beyoncé: Platinum Edition"
"Hold that cup like alcohol, don't you drop that alcohol",587286,"7/11",498,"Beyoncé",26,"Beyoncé: Platinum Edition"
"Never drop that alcohol, never drop that alcohol",587286,"7/11",498,"Beyoncé",27,"Beyoncé: Platinum Edition"
"I know you thinkin' about alcohol, I know I'm thinkin' bout that alcohol",587286,"7/11",498,"Beyoncé",28,"Beyoncé: Platinum Edition"
"Man this here like rollin' dice, man this here like rollin' dice",587286,"7/11",498,"Beyoncé",29,"Beyoncé: Platinum Edition"
"Seven eleven, seven eleven, seven twice, man seven twice",587286,"7/11",498,"Beyoncé",30,"Beyoncé: Platinum Edition"
"Man it feel like rollin' dice, man this feel like rollin' dice",587286,"7/11",498,"Beyoncé",31,"Beyoncé: Platinum Edition"
"Man it feel like rollin' dice, seven twice, seven twice",587286,"7/11",498,"Beyoncé",32,"Beyoncé: Platinum Edition"
"Girl I'm tryna kick it with ya, girl I'm tryna kick it with ya",587286,"7/11",498,"Beyoncé",33,"Beyoncé: Platinum Edition"
"Man I'm tryna kick it with ya, my feet up, I kick it with ya",587286,"7/11",498,"Beyoncé",34,"Beyoncé: Platinum Edition"
"Man I swear I kick it with ya, girl I wanna kick it with ya",587286,"7/11",498,"Beyoncé",35,"Beyoncé: Platinum Edition"
"Man I know I kick it with ya, yeah I spin around and I kick it with ya",587286,"7/11",498,"Beyoncé",36,"Beyoncé: Platinum Edition"
"Shoulders sideways, smack it, smack it in the air",587286,"7/11",498,"Beyoncé",37,"Beyoncé: Platinum Edition"
"Legs movin' side to side, smack it in the air",587286,"7/11",498,"Beyoncé",38,"Beyoncé: Platinum Edition"
"Legs movin' side to side, smack you  in the air",587286,"7/11",498,"Beyoncé",39,"Beyoncé: Platinum Edition"
"Shoulders sideways, smack it, smack it in the air",587286,"7/11",498,"Beyoncé",40,"Beyoncé: Platinum Edition"
"Smack it, smack it in the air, legs movin' side to side",587286,"7/11",498,"Beyoncé",41,"Beyoncé: Platinum Edition"
"Smack it, smack it in the air; smack it, smack it in the air",587286,"7/11",498,"Beyoncé",42,"Beyoncé: Platinum Edition"
"Wave your hands side to side, put it in the air",587286,"7/11",498,"Beyoncé",43,"Beyoncé: Platinum Edition"
"Wave your hands side to side, put it in the air",587286,"7/11",498,"Beyoncé",44,"Beyoncé: Platinum Edition"
"Clap, clap, clap like you don't care",587286,"7/11",498,"Beyoncé",45,"Beyoncé: Platinum Edition"
"Smack that, clap, clap, clap, like you don't care",587286,"7/11",498,"Beyoncé",46,"Beyoncé: Platinum Edition"
"(I know you care)",587286,"7/11",498,"Beyoncé",47,"Beyoncé: Platinum Edition"
"Wave ya hands side to side",587286,"7/11",498,"Beyoncé",48,"Beyoncé: Platinum Edition"
"Wave ya hands side to side",587286,"7/11",498,"Beyoncé",49,"Beyoncé: Platinum Edition"
"Wave ya hands from side to side",587286,"7/11",498,"Beyoncé",50,"Beyoncé: Platinum Edition"
"Wave ya hands side to side",587286,"7/11",498,"Beyoncé",51,"Beyoncé: Platinum Edition"
"Ooh wee BB freaky deaky, think me see she pink bikini",587286,"7/11",498,"Beyoncé",52,"Beyoncé: Platinum Edition"
"Rock that kufi, dye dashiki, Nefertiti, edges kinky",587286,"7/11",498,"Beyoncé",53,"Beyoncé: Platinum Edition"
"Sweatin' out my blow out, sweatin' out my presses",587286,"7/11",498,"Beyoncé",54,"Beyoncé: Platinum Edition"
"This trick about to go off, mad cause I'm so fresh",587286,"7/11",498,"Beyoncé",55,"Beyoncé: Platinum Edition"
"Fresher than you, I'm fresher than you",587286,"7/11",498,"Beyoncé",56,"Beyoncé: Platinum Edition"
"Fresher than you, oh",587286,"7/11",498,"Beyoncé",57,"Beyoncé: Platinum Edition"
"I heard",919776,"All I Could Do Was Cry",498,"Beyoncé",1,"Cadillac Records"
"Church bells ringing",919776,"All I Could Do Was Cry",498,"Beyoncé",2,"Cadillac Records"
"I heard",919776,"All I Could Do Was Cry",498,"Beyoncé",3,"Cadillac Records"
"A choir singing",919776,"All I Could Do Was Cry",498,"Beyoncé",4,"Cadillac Records"
"I saw my love",919776,"All I Could Do Was Cry",498,"Beyoncé",5,"Cadillac Records"
"Walk down",919776,"All I Could Do Was Cry",498,"Beyoncé",6,"Cadillac Records"
"The aisle",919776,"All I Could Do Was Cry",498,"Beyoncé",7,"Cadillac Records"
"On her finger",919776,"All I Could Do Was Cry",498,"Beyoncé",8,"Cadillac Records"
"He placed a ring",919776,"All I Could Do Was Cry",498,"Beyoncé",9,"Cadillac Records"
"Oooh, oh",919776,"All I Could Do Was Cry",498,"Beyoncé",10,"Cadillac Records"
"I saw them",919776,"All I Could Do Was Cry",498,"Beyoncé",11,"Cadillac Records"
"Holding hands",919776,"All I Could Do Was Cry",498,"Beyoncé",12,"Cadillac Records"
"She was",919776,"All I Could Do Was Cry",498,"Beyoncé",13,"Cadillac Records"
"Standing there",919776,"All I Could Do Was Cry",498,"Beyoncé",14,"Cadillac Records"
"Wwith my man",919776,"All I Could Do Was Cry",498,"Beyoncé",15,"Cadillac Records"
"I heard",919776,"All I Could Do Was Cry",498,"Beyoncé",16,"Cadillac Records"
"Them promise",919776,"All I Could Do Was Cry",498,"Beyoncé",17,"Cadillac Records"
"Til death do",919776,"All I Could Do Was Cry",498,"Beyoncé",18,"Cadillac Records"
"Us part",919776,"All I Could Do Was Cry",498,"Beyoncé",19,"Cadillac Records"
"Each word",919776,"All I Could Do Was Cry",498,"Beyoncé",20,"Cadillac Records"
"Was a pain",919776,"All I Could Do Was Cry",498,"Beyoncé",21,"Cadillac Records"
"In my heart",919776,"All I Could Do Was Cry",498,"Beyoncé",22,"Cadillac Records"
"All I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",23,"Cadillac Records"
"All I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",24,"Cadillac Records"
"Was cry",919776,"All I Could Do Was Cry",498,"Beyoncé",25,"Cadillac Records"
"All I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",26,"Cadillac Records"
"Was cry",919776,"All I Could Do Was Cry",498,"Beyoncé",27,"Cadillac Records"
"I was",919776,"All I Could Do Was Cry",498,"Beyoncé",28,"Cadillac Records"
"Losing the man",919776,"All I Could Do Was Cry",498,"Beyoncé",29,"Cadillac Records"
"That I love",919776,"All I Could Do Was Cry",498,"Beyoncé",30,"Cadillac Records"
"And all",919776,"All I Could Do Was Cry",498,"Beyoncé",31,"Cadillac Records"
"I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",32,"Cadillac Records"
"Was cry",919776,"All I Could Do Was Cry",498,"Beyoncé",33,"Cadillac Records"
"And now",919776,"All I Could Do Was Cry",498,"Beyoncé",34,"Cadillac Records"
"The wedding",919776,"All I Could Do Was Cry",498,"Beyoncé",35,"Cadillac Records"
"Is over",919776,"All I Could Do Was Cry",498,"Beyoncé",36,"Cadillac Records"
"The rice, rice",919776,"All I Could Do Was Cry",498,"Beyoncé",37,"Cadillac Records"
"Has been",919776,"All I Could Do Was Cry",498,"Beyoncé",38,"Cadillac Records"
"Thrown over",919776,"All I Could Do Was Cry",498,"Beyoncé",39,"Cadillac Records"
"Their heads",919776,"All I Could Do Was Cry",498,"Beyoncé",40,"Cadillac Records"
"For them life",919776,"All I Could Do Was Cry",498,"Beyoncé",41,"Cadillac Records"
"Has just begun",919776,"All I Could Do Was Cry",498,"Beyoncé",42,"Cadillac Records"
"But mine",919776,"All I Could Do Was Cry",498,"Beyoncé",43,"Cadillac Records"
"Is ending",919776,"All I Could Do Was Cry",498,"Beyoncé",44,"Cadillac Records"
"Ooh",919776,"All I Could Do Was Cry",498,"Beyoncé",45,"Cadillac Records"
"All I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",46,"Cadillac Records"
"All I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",47,"Cadillac Records"
"Was cry",919776,"All I Could Do Was Cry",498,"Beyoncé",48,"Cadillac Records"
"All I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",49,"Cadillac Records"
"Was cry",919776,"All I Could Do Was Cry",498,"Beyoncé",50,"Cadillac Records"
"I was losing",919776,"All I Could Do Was Cry",498,"Beyoncé",51,"Cadillac Records"
"The man",919776,"All I Could Do Was Cry",498,"Beyoncé",52,"Cadillac Records"
"That I love",919776,"All I Could Do Was Cry",498,"Beyoncé",53,"Cadillac Records"
"And all",919776,"All I Could Do Was Cry",498,"Beyoncé",54,"Cadillac Records"
"I could do",919776,"All I Could Do Was Cry",498,"Beyoncé",55,"Cadillac Records"
"Was cry",919776,"All I Could Do Was Cry",498,"Beyoncé",56,"Cadillac Records"
"I found the truth beneath your lies",2461241,"All Night",498,"Beyoncé",1,"Lemonade"
"And true love never has to hide",2461241,"All Night",498,"Beyoncé",2,"Lemonade"
"True love never has to hide",2461241,"All Night",498,"Beyoncé",3,"Lemonade"
"I'll trade your broken wings for mine",2461241,"All Night",498,"Beyoncé",4,"Lemonade"
"Trade your broken wings for mine",2461241,"All Night",498,"Beyoncé",5,"Lemonade"
"I've seen your scars and kissed your crime, oh",2461241,"All Night",498,"Beyoncé",6,"Lemonade"
"Seen your scars and kissed your crime",2461241,"All Night",498,"Beyoncé",7,"Lemonade"
"So many people that I know, they're just tryna touch ya",2461241,"All Night",498,"Beyoncé",8,"Lemonade"
"Kiss up and rub up and feel up",2461241,"All Night",498,"Beyoncé",9,"Lemonade"
"Kiss up and rub up and feel up on you",2461241,"All Night",498,"Beyoncé",10,"Lemonade"
"Give you some time to prove that I can trust you again",2461241,"All Night",498,"Beyoncé",11,"Lemonade"
"I'm gonna kiss up and rub up and feel up",2461241,"All Night",498,"Beyoncé",12,"Lemonade"
"Kiss up and rub up and feel up on you",2461241,"All Night",498,"Beyoncé",13,"Lemonade"
"All night long",2461241,"All Night",498,"Beyoncé",14,"Lemonade"
"Love all night long",2461241,"All Night",498,"Beyoncé",15,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",16,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",17,"Lemonade"
"All I wanna, ain't no other",2461241,"All Night",498,"Beyoncé",18,"Lemonade"
"We together, I remember",2461241,"All Night",498,"Beyoncé",19,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",20,"Lemonade"
"Our love was stronger than your pride",2461241,"All Night",498,"Beyoncé",21,"Lemonade"
"Beyond your darkness, I'm your light, oh",2461241,"All Night",498,"Beyoncé",22,"Lemonade"
"If you get deep, you touch my mind",2461241,"All Night",498,"Beyoncé",23,"Lemonade"
"If you get deep, you touch my mind",2461241,"All Night",498,"Beyoncé",24,"Lemonade"
"Baptize your tears and dry your eyes, oh",2461241,"All Night",498,"Beyoncé",25,"Lemonade"
"Baptize your tears and dry your eyes",2461241,"All Night",498,"Beyoncé",26,"Lemonade"
"So many people, I know that they're just tryna touch ya",2461241,"All Night",498,"Beyoncé",27,"Lemonade"
"Kiss up and rub up and feel up",2461241,"All Night",498,"Beyoncé",28,"Lemonade"
"Kiss up and rub up and feel up on you",2461241,"All Night",498,"Beyoncé",29,"Lemonade"
"Give you some time to prove that I can trust you again",2461241,"All Night",498,"Beyoncé",30,"Lemonade"
"I'm gonna kiss up and rub up and feel up",2461241,"All Night",498,"Beyoncé",31,"Lemonade"
"Kiss up and rub up and feel up on you",2461241,"All Night",498,"Beyoncé",32,"Lemonade"
"All night long",2461241,"All Night",498,"Beyoncé",33,"Lemonade"
"Love all night long",2461241,"All Night",498,"Beyoncé",34,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",35,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",36,"Lemonade"
"All I wanna, ain't no other",2461241,"All Night",498,"Beyoncé",37,"Lemonade"
"We together, I remember",2461241,"All Night",498,"Beyoncé",38,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",39,"Lemonade"
"They say true love's the greatest weapon",2461241,"All Night",498,"Beyoncé",40,"Lemonade"
"To win the war caused by pain, pain",2461241,"All Night",498,"Beyoncé",41,"Lemonade"
"But every diamond has imperfections",2461241,"All Night",498,"Beyoncé",42,"Lemonade"
"But my love's too pure to watch it chip away",2461241,"All Night",498,"Beyoncé",43,"Lemonade"
"Boy, nothing real can be threatened",2461241,"All Night",498,"Beyoncé",44,"Lemonade"
"True love breathes salvation back into me",2461241,"All Night",498,"Beyoncé",45,"Lemonade"
"With every tear came redemption",2461241,"All Night",498,"Beyoncé",46,"Lemonade"
"And my torturer became my remedy",2461241,"All Night",498,"Beyoncé",47,"Lemonade"
"So many people, I know that they're just tryna touch ya",2461241,"All Night",498,"Beyoncé",48,"Lemonade"
"Kiss up and rub up and feel up",2461241,"All Night",498,"Beyoncé",49,"Lemonade"
"Kiss up and rub up and feel up on you",2461241,"All Night",498,"Beyoncé",50,"Lemonade"
"Give you some time to prove that I can trust you again",2461241,"All Night",498,"Beyoncé",51,"Lemonade"
"I'm gonna kiss up and rub up and feel up",2461241,"All Night",498,"Beyoncé",52,"Lemonade"
"Kiss up and rub up and feel up on you",2461241,"All Night",498,"Beyoncé",53,"Lemonade"
"All night long",2461241,"All Night",498,"Beyoncé",54,"Lemonade"
"Love all night long",2461241,"All Night",498,"Beyoncé",55,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",56,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",57,"Lemonade"
"All I wanna, ain't no other",2461241,"All Night",498,"Beyoncé",58,"Lemonade"
"We together, I remember",2461241,"All Night",498,"Beyoncé",59,"Lemonade"
"Sweet love all night long",2461241,"All Night",498,"Beyoncé",60,"Lemonade"
"How I missed you, my love",2461241,"All Night",498,"Beyoncé",61,"Lemonade"
"At last",1788395,"At Last",498,"Beyoncé",1,"Cadillac Records"
"My love has come along",1788395,"At Last",498,"Beyoncé",2,"Cadillac Records"
"My lonely days are over",1788395,"At Last",498,"Beyoncé",3,"Cadillac Records"
"And life is like a song",1788395,"At Last",498,"Beyoncé",4,"Cadillac Records"
"Oh yeah yeah",1788395,"At Last",498,"Beyoncé",5,"Cadillac Records"
"At last",1788395,"At Last",498,"Beyoncé",6,"Cadillac Records"
"The skies above are blue",1788395,"At Last",498,"Beyoncé",7,"Cadillac Records"
"My heart was wrapped up in clover",1788395,"At Last",498,"Beyoncé",8,"Cadillac Records"
"The night I looked at you",1788395,"At Last",498,"Beyoncé",9,"Cadillac Records"
"I found a dream",1788395,"At Last",498,"Beyoncé",10,"Cadillac Records"
"That I could speak to",1788395,"At Last",498,"Beyoncé",11,"Cadillac Records"
"A dream that I can call my own",1788395,"At Last",498,"Beyoncé",12,"Cadillac Records"
"I found a thrill to press my cheek to",1788395,"At Last",498,"Beyoncé",13,"Cadillac Records"
"A thrill that I have never known",1788395,"At Last",498,"Beyoncé",14,"Cadillac Records"
"Oh yeah, when you smile",1788395,"At Last",498,"Beyoncé",15,"Cadillac Records"
"You smile, Ooh and then the spell was cast",1788395,"At Last",498,"Beyoncé",16,"Cadillac Records"
"And here we are in heaven",1788395,"At Last",498,"Beyoncé",17,"Cadillac Records"
"For you are mine",1788395,"At Last",498,"Beyoncé",18,"Cadillac Records"
"At last",1788395,"At Last",498,"Beyoncé",19,"Cadillac Records"
"Do you think",1559184,"A Woman Like Me",498,"Beyoncé",1,"—"
"You could fall for a woman like me",1559184,"A Woman Like Me",498,"Beyoncé",2,"—"
"'Cause I find it hard to trust",1559184,"A Woman Like Me",498,"Beyoncé",3,"—"
"I need too much",1559184,"A Woman Like Me",498,"Beyoncé",4,"—"
"And I really don't believe in love, no no",1559184,"A Woman Like Me",498,"Beyoncé",5,"—"
"Do you think",1559184,"A Woman Like Me",498,"Beyoncé",6,"—"
"That I could be the girl of your dreams",1559184,"A Woman Like Me",498,"Beyoncé",7,"—"
"Sometimes I don't let things go",1559184,"A Woman Like Me",498,"Beyoncé",8,"—"
"Get emotional",1559184,"A Woman Like Me",498,"Beyoncé",9,"—"
"And sometimes I'm just out of control",1559184,"A Woman Like Me",498,"Beyoncé",10,"—"
"You need to stop for a minute",1559184,"A Woman Like Me",498,"Beyoncé",11,"—"
"Before you get too, deep up in it",1559184,"A Woman Like Me",498,"Beyoncé",12,"—"
"(Too deep)",1559184,"A Woman Like Me",498,"Beyoncé",13,"—"
"'Cause everything ain't what it seems",1559184,"A Woman Like Me",498,"Beyoncé",14,"—"
"It's hard loving a woman",1559184,"A Woman Like Me",498,"Beyoncé",15,"—"
"A woman like me",1559184,"A Woman Like Me",498,"Beyoncé",16,"—"
"(Woman like me)",1559184,"A Woman Like Me",498,"Beyoncé",17,"—"
"You need to think about it",1559184,"A Woman Like Me",498,"Beyoncé",18,"—"
"Before you get hooked on the venom",1559184,"A Woman Like Me",498,"Beyoncé",19,"—"
"And can't live without it",1559184,"A Woman Like Me",498,"Beyoncé",20,"—"
"(No no)",1559184,"A Woman Like Me",498,"Beyoncé",21,"—"
"Can't believe everything you see",1559184,"A Woman Like Me",498,"Beyoncé",22,"—"
"It's hard loving a woman",1559184,"A Woman Like Me",498,"Beyoncé",23,"—"
"A woman like me",1559184,"A Woman Like Me",498,"Beyoncé",24,"—"
"Do you think",1559184,"A Woman Like Me",498,"Beyoncé",25,"—"
"That I could be the one that you seek",1559184,"A Woman Like Me",498,"Beyoncé",26,"—"
"'Cause baby I'm one step ahead",1559184,"A Woman Like Me",498,"Beyoncé",27,"—"
"You're two steps behind",1559184,"A Woman Like Me",498,"Beyoncé",28,"—"
"But baby I don't mind",1559184,"A Woman Like Me",498,"Beyoncé",29,"—"
"Do you think",1559184,"A Woman Like Me",498,"Beyoncé",30,"—"
"That I can make you real happy baby",1559184,"A Woman Like Me",498,"Beyoncé",31,"—"
"Just don't get me wrong",1559184,"A Woman Like Me",498,"Beyoncé",32,"—"
"My loving is so strong",1559184,"A Woman Like Me",498,"Beyoncé",33,"—"
"But I ain't tryna lead you on",1559184,"A Woman Like Me",498,"Beyoncé",34,"—"
"You need to stop for a minute",1559184,"A Woman Like Me",498,"Beyoncé",35,"—"
"(No no)",1559184,"A Woman Like Me",498,"Beyoncé",36,"—"
"Before you get too, deep up in it",1559184,"A Woman Like Me",498,"Beyoncé",37,"—"
"(No no)",1559184,"A Woman Like Me",498,"Beyoncé",38,"—"
"'Cause everything ain't what it seems",1559184,"A Woman Like Me",498,"Beyoncé",39,"—"
"(Seems)",1559184,"A Woman Like Me",498,"Beyoncé",40,"—"
"It's hard loving a woman",1559184,"A Woman Like Me",498,"Beyoncé",41,"—"
"A woman like me",1559184,"A Woman Like Me",498,"Beyoncé",42,"—"
"(Woman like me)",1559184,"A Woman Like Me",498,"Beyoncé",43,"—"
"You need to think about it",1559184,"A Woman Like Me",498,"Beyoncé",44,"—"
"Before you get hooked on the venom",1559184,"A Woman Like Me",498,"Beyoncé",45,"—"
"And can't live without it",1559184,"A Woman Like Me",498,"Beyoncé",46,"—"
"(Without it)",1559184,"A Woman Like Me",498,"Beyoncé",47,"—"
"Can't believe everything you see",1559184,"A Woman Like Me",498,"Beyoncé",48,"—"
"It's hard loving a woman",1559184,"A Woman Like Me",498,"Beyoncé",49,"—"
"A woman like me",1559184,"A Woman Like Me",498,"Beyoncé",50,"—"
"Woman like me",1559184,"A Woman Like Me",498,"Beyoncé",51,"—"
"Woman like me",1559184,"A Woman Like Me",498,"Beyoncé",52,"—"
"Woman like me",1559184,"A Woman Like Me",498,"Beyoncé",53,"—"
"Oh",1559184,"A Woman Like Me",498,"Beyoncé",54,"—"
"You need to stop for a minute",1559184,"A Woman Like Me",498,"Beyoncé",55,"—"
"(Stop for a minute)",1559184,"A Woman Like Me",498,"Beyoncé",56,"—"
"Before you get too, deep up in it",1559184,"A Woman Like Me",498,"Beyoncé",57,"—"
"(Before you get too deep up in it)",1559184,"A Woman Like Me",498,"Beyoncé",58,"—"
"'Cause everything ain't what it seems",1559184,"A Woman Like Me",498,"Beyoncé",59,"—"
"It's hard loving a woman",1559184,"A Woman Like Me",498,"Beyoncé",60,"—"
"A woman like me",1559184,"A Woman Like Me",498,"Beyoncé",61,"—"
"You need to think about it",1559184,"A Woman Like Me",498,"Beyoncé",62,"—"
"(Think about it, baby)",1559184,"A Woman Like Me",498,"Beyoncé",63,"—"
"Before you get hooked on the venom",1559184,"A Woman Like Me",498,"Beyoncé",64,"—"
"And can't live without it",1559184,"A Woman Like Me",498,"Beyoncé",65,"—"
"(No, no)",1559184,"A Woman Like Me",498,"Beyoncé",66,"—"
"Can't believe everything you see",1559184,"A Woman Like Me",498,"Beyoncé",67,"—"
"It's hard loving a woman",1559184,"A Woman Like Me",498,"Beyoncé",68,"—"
"{Outro: Beyoncé}",1559184,"A Woman Like Me",498,"Beyoncé",69,"—"
"A woman like me",1559184,"A Woman Like Me",498,"Beyoncé",70,"—"
"Woman like me",1559184,"A Woman Like Me",498,"Beyoncé",71,"—"
"Woman like me",1559184,"A Woman Like Me",498,"Beyoncé",72,"—"
"Woman like me",1559184,"A Woman Like Me",498,"Beyoncé",73,"—"
"When you see that girl comin', back up",141835,"Back Up",498,"Beyoncé",1,"B'Day"
"She ain't yo' average chick--back up",141835,"Back Up",498,"Beyoncé",2,"B'Day"
"This is for the, the, the club",141835,"Back Up",498,"Beyoncé",3,"B'Day"
"And this is for the people on the, the, the block",141835,"Back Up",498,"Beyoncé",4,"B'Day"
"When you see that girl comin', back up",141835,"Back Up",498,"Beyoncé",5,"B'Day"
"She ain't yo average chick--back up",141835,"Back Up",498,"Beyoncé",6,"B'Day"
"This is for the, the, the club",141835,"Back Up",498,"Beyoncé",7,"B'Day"
"And this is for the people on the, the, the block",141835,"Back Up",498,"Beyoncé",8,"B'Day"
"She ain't the average chick, she the baddest chick",141835,"Back Up",498,"Beyoncé",9,"B'Day"
"She ain't the average chick, she the baddest chick",141835,"Back Up",498,"Beyoncé",10,"B'Day"
"Everybody know that face",141835,"Back Up",498,"Beyoncé",11,"B'Day"
"Even with her head low, they still know that shape",141835,"Back Up",498,"Beyoncé",12,"B'Day"
"When she come through the club, people take they place",141835,"Back Up",498,"Beyoncé",13,"B'Day"
"Chicks throwin' handcuffs 'cause they knowin' that they man ain't safe",141835,"Back Up",498,"Beyoncé",14,"B'Day"
"'Cause she the one switchin' up flows",141835,"Back Up",498,"Beyoncé",15,"B'Day"
"If it's four door, two gotta go",141835,"Back Up",498,"Beyoncé",16,"B'Day"
